Australien;;;
5;Wird ein Visum oder elektronische Einreisebestimmung benötigt?;Für Neuseeland wird eine elektronische Einreisegenehmigung benötigt, welche vor Abreise eigenständig beantragt werden muss. Nähere Informationen finden Sie in den Einreisebestimmungen auf unserer Webseite.;
6;Mit welcher Airline wird geflogen?;Wir fliegen mit Singapore Airlines über Singapur;
7;Sind andere Abflughäfen möglich?;Ja, andere Abflughäfen außer Frankfurt sind möglich.  Wir können gerne verschiedene Zurbingerflüge für Sie prüfen. Welche dies sind, können Sie auf der Webseite im ersten Schritt der Reiseanmeldungsanlegung prüfen. ;
8;Ist ein Stopover möglich? Kann die An- und Rückreise unterbrochen werden?;Ein Stopover in Singapur ist möglich. Sieh dir dafür unsere Vorfreuen und/oder Nachträumen Singapur an.;
9;Wann ist die beste Reisezeit für Neuseeland?;Wir bieten unsere Reise nach Neuseeland im neuseeländischen Frühling bis Herbst an. Zwischen Oktober und März. ;
10;Ist eine Kombination mit Australien möglich?;Eine Kombination der Australien Reise und Neuseeland Reise ist möglich, kommt jedoch auf die Termine an, wie kombiniert werden kann. ;
11;Wie kann ich in Neuseeland bezahlen?;In Neuseeland kann fast alles mit Karte (Kreditkarte) bezahlt werden. Es ist jedoch trotzdem empfehlenswert eine gewisse Menge an Brgeld mit sich zu führen. Unteranderem für die Trinkgelder. ;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;?;Auf dieser Reise ist deine Reiseleitung auch gleichzeitig dein:e Fahrer:in;
2;Kann man optionale Aktivitäten buchen? / Bis wann muss ich mich für die optionalen Ausflüge anmelden?;Die Ausflüge zum Milford Sound der Walbeobachtungsflug in Kaikoura und der Helikopterflug über die Gletscherwelt, kann bis 6 Wochen vor Abreise angemeldet werden. Bitte beachte, dass auf allen Ausflügen eine begrenzte Verfügbarkeit besteht. Um dir einen Platz auf deinem Wunschausflug zu sichern, ist eine Anmeldung so früh wie möglich ratsam.;
3;Können Wanderungen ausgelassen werden?;Einzelne Wanderungen können bis auf die Ausnahme vom Queen Charlotte Walkway nicht ausgelassen werden. ;
Oman;;;
Nr.;Frage;Antwort;
1;Einschränkungen zum Ramadan;"Essen, Trinken und Rauchen in der Öffentlichkeit sind tagsüber untersagt, auch für Nicht-Muslime. In Hotels, abgeschirmten Bereichen und in den Fahrzeugen ist Essen und Trinken möglich.
Öffnungszeiten von Geschäften und Märkten können reduziert sein.
Das gesellschaftliche Leben verlagert sich in die Abendstunden – dann sind Märkte, Parks und Restaurants lebendig und festlich geschmückt.
Chamäleon-Tipp: Trotz der Einschränkungen ist der Ramadan eine besonders stimmungsvolle Zeit, um die omanische Kultur authentisch zu erleben";
2;Welche Airline?;Oman Air;
3;Brauche ich ein Visum?;Ein Touristenvisum wird erst ab einer Dauer von 15 Tagen im Oman benötigt. Das Visum muss online beantragt werden.;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Saudi-Arabien;;;
Nr.;Frage;Antwort;
1;Wie muss ich mich kleiden?;Saudi-Arabien ist ein stark muslimisches Land. Man sollte also immer drauf achten, sich angemessen zu verhalten und zu kleiden. In der Altstadt von Medina müssen die Frauen eine Abaya und eine Hijab tragen. Die Männer müssen in Medina auch lange Kleidung tragen. Die Moschee in Medina kann nur von außen besichtigt werden. Außerhalb von Medina sollten die Gäste Kleidung tragen die Schultern und Knie bedecken.;
2;Kann ich alkohlishce Getränke im Land kaufen?;In Saudi-Arabien gilt ein strenges Alkohlverbot. Im ganzen Land ist der Verkauf von alkohlischen Getränken verboten.;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Sri Lanka;;;
Nr.;Frage;Antwort;
1;;;
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Thailand;;;
Nr.;Frage;Antwort;
1;;;
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Usbekistan;;;
Nr.;Frage;Antwort;
1;;;
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Vietnam;;;
Nr.;Frage;Antwort;
1;Beste Reisezeit? ;Oktober - April (SAPA ganzjährig, da Reisfelder in Regenzeit am beeindruckensten aussehen) ;
2;Aktivitätslevel? ;VNSAP: etwas anspruchsvoll bzgl. Wanderung / VNHAL: einfach VNSAO: einfach / VNSPU: einfach / VNBAY: einfach;
3;Radtouren ?;es gibt für jede Radtour eine kostenfreie Alternative;
4;Sitzplatzreservierung ? ;2025: Standard Sitzplatz ECO: 35€ pro Person und Strecke / Bevorzugter Sitzplatz ECO: 80€ pro Person und Strecke (weiter vorne im Flugzeug, frühreres Ein-und Ausstreigen / Sitzplätze mit mehr Beinfreiheit: 130€ pro Person und Strecke (Tickets müssen vor Sitzplatzbuchung ausgestellt werden) (erhältlich von 15-60 Jahren / Nur bei Notausgangssitzen) Sitzplätze in PX und BX kostenfrei      2026: Standard Sitzplatz ECO: 10€ pro Person und Strecke / Bevorzugter Sitzplatz ECO: 80€ pro Person und Strecke (weiter vorne im Flugzeug, frühreres Ein-und Ausstreigen / Sitzplätze mit mehr Beinfreiheit: 130€ pro Person und Strecke (Tickets müssen vor Sitzplatzbuchung ausgestellt werden) (erhältlich von 15-60 Jahren / Nur bei Notausgangssitzen) Sitzplätze in PX und BX kostenfrei ;
5;Höhere Buchungsklassen?;Premium Economy Class kalkulierter Aufpreis 800€ pro Person Business Class kalkulierter Aufpreis 3200€ pro Person;
6;Bestuhlung ?;EC: 3-3-3 / PX: 2-3-2 / BX: 1-2-1;
7;Zubringerflüge?;können angefragt werden / jedoch meist zu höheren Aufpreisen, da Lufthansa und Vietnam Airlines nicht kooperieren;
8;Fluggesellschaft? ;ausschließlich Vietnam Airlines / bei Kambodscha meistens K6 von Saigon nach Siem Reap;
9;Visum?;für Deutsche Staatsbürger bis einschließlich 45Tage Visafrei Österreich/Schweiz/Luxemburg Visum erforderlich;
10;Essenspräferenzen / Allergien ?;können bei Agentur vermerkt werden / in der Regel umsetzbar (unter Vorbehalt);
11;Eigenanreise?;okay / Inlandsflüge weiter über CHA;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;VNBAY / Visum Kambodscha;alle Gäste brauche ein E-Visum für Kambodscha / zusätzlich Einreiseformular (dieses wird mit Reiseleiter in Hanoi ausgefüllt);
2;;;
3;;;
;;;
;;;
;Indonesien ;;
;erst online gegangen, daher noch keine Erfahrungen zu möglichen Fragen.;;
Nr.;;;
1;Was kostet die Business Class?;Wir haben die Business Class mit einem Flugaufpreis von 6000 Euro pro Person vorkalkuliert. Der tatsächliche Flugaufpreis muss tagesaktuell durch unsere interne Flugabteilung gepfrüft werden. ;
2;Was kostet die Premium Economy?;Wir haben die Premium Economy mit einem Flugaufpreis von 2000 Euro pro Person vorkalkuliert. Der tatsächliche Flugaufpreis muss tagesaktuell durch unsere interne Flugabteilung gepfrüft werden. ;
3;Ist eine Sitzplatzreservierung möglich?;In der Economy ist keine vorzeitige Sitzplatzresrevierung möglich. In Premium Economy und Business Class ist es möglich.;
4;Was kostet eine Sitzplatzreservierung?;Eine Sitzplatzreservierung in der Premium Economy und Businss Class ist kostenfrei vorab möglich. In Economy ist keine vorzeitige Sitzplatzreservierung möglich. ;
5;Wird ein Visum oder elektronische Einreisebestimmung benötigt?;Für Indonesien benötigst du ein Visum. Wir empfehlen das Visum-on-Arrival. Weitere Informationen dazu findest du in den Einreisebestimmungen. ;
6;Mit welcher Airline wird geflogen?;Wir fliegen mit Singapur Airline und Scoot.;
7;Ist ein Stopover möglich? Kann die An- und Rückreise unterbrochen werden?;Ein Stopover in Singapur ist möglich. Sieh dir dafür unsere Vorfreuen und/oder Nachträumen Singapur an.;
8;Geld tauschen?;Wir empfehlen Geld vor Ort zu tauschen. ;
9;;;
10;;;
