Ägypten;;;
3;Wie lange dauern die Wanderungen, sind sie anstrengend?;Die Wanderungen dauern (auch je nach Wetterlage) zwischen 2 und 6 Stunden und sind leicht bis mittelschwer, da es keine befestigten Wege sind. Es werden nicht viele Höhenmeter gegangen und die Wanderungen können ausgesetzt werden (bitte vor Ort beim Guide ansprechen!);
4;Wieviel Freigepäck kann ich mitnehmen?;Durch den Inlandsflug ist die Gepäckmenge auf 20 Kg Aufgabegepäck sowie 5 Kg Handgepäck beschränkt. Bei Übergepäck bzw. Mehrgewicht fallen vor Ort Kosten durch die Airline an. Auf den Langstreckenflügen dürfen 23 Kg pro Person mitgeführt werden.;
5;Kann ich Geld vor Ort tauschen oder mit der Kreditkarte abheben?;"Die Landeswährung ist Ariary; teilweise werden auch US-Dollar akzeptiert, allerdings sind die Preise in Dollar höher. Wir empfehlen direkt am Flughafen genug Bargeld von Euro in Ariary zu wechseln.";
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Marokko;;;
Nr.;Frage;Antwort;
1;Was ändert sich für mich, wenn ich die Reise während des Ramadans mache? ;Während des Ramadans erlebt man das belebte Marrakesch von einer anderen Seiten, das Leben läuft zu dieser Zeit ein wenig langsamer ab und es ist wichtig, nicht auf offener Straße zu essen oder zu trinken und die heilige Fastenzeit zu respektieren. Tourist*innen sind vom Fasten natürlich ausgenommen. ;
2;Mit welcher Airline wird geflogen?;Wir fliegen  mit der Discover Airlines.;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Mosambik;;;
Nr.;Frage;Antwort;
1;Benötige ich ein Visum?;Deutsche Staatsangehörige reisen visafrei nach Mosambik, jedoch gibt es eine Einreisegebühr in Höhe von ca. 650 Metical, welche auch in USD und auch EUR gezahlt werden. Am besten passend 10 - 12 USD / EUR dabei haben.  Achtung: Österreichische Staatsangehörige unterliegen einer Visumspflicht. Bei Fragen wendet euch bitte u.a. an das mosambikanische Honorarkonsulat in Wien oder an www.visum.at ;
2;Was ist die beste Reisezeit?;"Mosambik kann man das ganze Jahr gut bereisen – am heißestes wird es allerdings im Dezember bis in den Februar/März.
Um Mosambik zu besuchen, ist die beste Reisezeit in den Monaten von Mitte April bis September. Die Tages- und Nacht Temperaturen sind angenehm und es wird eine durchschnittliche Tagestemperatur von rund 28° Celsius gemessen. Vor allem April und Mai ist die beste Zeit, um die Schönheit der Landschaft zu genießen, welche noch üppig und grün ist, bevor die Trockenheit ihre Wirkung zeigt.
Für Tierbeobachtungen eignen sich vor allem die Monate Juli bis September, da zu dieser Zeit noch kaum Regen fällt und die karge Vegetation immer weniger Verstecke bietet. Die Tiere versammeln sich nun immer häufiger an den verbliebenen Wasserstellen. Auch sind die Temperaturen nach wie vor sehr angenehmen.
Im Oktober wird es langsam feuchter und auch die Temperaturen steigen nun spürbar, wobei das Klima bis in den November hinein noch gut für eine Mosambikreise geeignet ist. Erst Ende November werden die Regenfälle zunehmend stärker und es kann auf einigen Straßen zu Einschränkungen kommen. Dezember bis März sind eher nicht für Reisen zu empfehlen.
Die Chance auf Buckelwale vor der Küste ist besonders im Juli und August groß.";
3;Benötige ich Malaria Prophylaxe?;"Mosambik gilt als ganzjährig malariagefährdetes Gebiet. Mit der Reisebestätigung erhältst du von uns einen Coupon für ein kostenloses Informationsgespräch zur reisemedizinischen Vorsorge in einer der BCRT-Reisepraxen. Standorte: Berlin (Standorte Mitte und Steglitz), Dresden, Düsseldorf, Frankfurt a.M., Hamburg, Köln, München, Stuttgart und Wiesbaden. Sprechzeiten unter www.bcrt.de. Eine telefonische Beratung ist nicht möglich.
Außerhalb dieser Standorte lasse dich dazu bitte ärztlich beraten.";
4;Ist Mosambik sicher?;Mosambik gilt als relativ sicheres Reiseland. Trotzdem solltest du grundlegende Vorsichtsmaßregeln dringend einhalten: Zeige Bargeld und Wertgegenstände nicht in der Öffentlichkeit. Laut auswärtigem Amt wird vor Reisen in die nördlichsten Distrikte gewarnt. Während unseren Reisen oder unseren Anschlussprogrammen (alle südlich von Beira) beeinträchtigt dies glücklicherweise nicht. Wir stehen zudem in ständigem Austausch mit unserer Partneragentur und Reiseleitung und beobachten so fortwährend die Situation vor Ort. Bitte sei dir gewiss, dass wir zu keinem Zeitpunkt unsere Gäste und Reiseleiter*innen in Gefahr bringen würden.;
5;Kann ich Geld vor Ort tauschen oder mit der Kreditkarte abheben?;Ja, Euro können vor Ort in Metical umgetauscht werden oder Bargeld am Geldautomaten abgehoben werden. Weiterhin ist auch die Zahlung mit Kreditkarten (besonders VisaCard) weit verbreitet.;
6;Bieten die Unterkünfte einen Wäscheservice?;In den meisten Unterkünften gibt es einen Wäscheservice, diesen kannst du ab einem Aufenthalt von mind. 2 Nächten in der Unterkunft nutzen.;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Kann man Walhaie sehen?;In Tofo selbst wirbt man ja fast mit einer »Walhai-Garantie«, d.h. die Chancen stehen sehr gut - und das auch das ganze Jahr über. Zwischen Oktober und April soll die Wahrscheinlichkeit, sie zu sehen, bei mehr als 90 % liegen. Dennoch gibt es keine Garantie dafür und bei starkem Wind kann der Wellengang auch so hoch sein, dass ggf. gar keine Boote herausfahren können. ;
2;Wie hoch sind die Nebenkosten?;Pro Woche solltest du etwa 200 bis 250 € pro Person für nicht inkludierte Mahlzeiten und Getränke einplanen.;
3;;;
Namibia;;;
Nr.;Frage;Antwort;
1;Kann ich Geld vor Ort tauschen oder mit der Kreditkarte abheben?;Ja, am Ankunftsterminal in Windhoek gibt es die Möglichkeit an zwei Bankautomaten Geld abzuheben oder an zwei Wechselstuben Euro in Namibia Dollar zu tauschen. Während der Reise kann an jeder Tankstelle oder in jedem kleineren Ort mit der Kreditkarte Geld abgehoben werden. Den Geldwechsel empfehlen wir wieder z.b. in Swakopmund, da dort die Konkurrenz an Wechselstuben deutlich größer ist und somit die Kurse besser. ;
2;Welche Busse / Fahrzeuge werden vor Ort eingesetzt?;In der Regel werden Mercedes Sprinter als 12-16 Sitzer eingesetzt. Ein genaues Bild von den Bussen kannst du dir hier machen: https://packtransport.com/cars/mercedes-sprinter-12-seater/;
3;Gibt es Toiletten auf den Fahrtwegen/Strecken?;Toiletten findet man während der Fahrten eher weniger. Hier muss im Zweifel dann die Natur herhalten. Ansonsten kann man in Restaurants, Cafes oder Tankstellen, wo eventuell sowieso eine Pause eingelegt wird, die Toiletten aufsuchen;
4;Warum sind die Strecken so lang? ;Das lässt sich in Namibia tatsächlich nicht vermeiden, da das Land so groß ist. Um eine Größenvorstellung zu haben, Namibia ist in etwa doppelt so groß wie Deutschland.;
5;Welche Kleidung nehme ich mit ?;"Angesichts der klimatischen Bedingungen ist das Tragen von Baumwoll- und Leinenkleidung angenehm für Haut und Wohlbefinden. Kopfbedeckung sowie Sonnenbrille und Sonnenschutzmittel sind aufgrund der hohen Sonneneinstrahlung
notwendig. Das Outfit für die Safaris sollte in hellen Naturfarben sein und aus reißfesten Materialen bestehen, wenn Wildbeobachtungen zu Fuß geplant sind. Außerdem gehören feste Wanderschuhe ins Gepäck. Im namibischen Winter braucht man am Morgen und am Abend dringend eine warme Jacke, während der restlichen Zeit des Jahres reicht ein
Sweater. Im Winter (Ende Mai bis Mitte August) sind zudem für die Safaris im offenen Geländewagen Mütze und ggf. auch ein Schal erforderlich. In den Monaten Oktober und November ist leichte, atmungsaktive Kleidung die beste Wahl, denn dann fallen die Temperaturen in der Regel nur nachts unter 30 Grad Celsius. (Reiseinformation)";
6;Darf ich Hartschalenkoffer mitnehmen? Müssen es Reisetaschen sein?;Für die Reise müssen es keine Reisetaschen sein. Es dürfen auch z.B. Stoffkoffer mit Rollen sein. Wir bitten aber wenn möglich, auf Hartschalenkoffer, aus Platzgründen im Bus, zu verzichten. Für die Reise muss allerdings kein neues Gepäck gekauft werden. ;
7;Kann ich auch Mückenspray vor Ort kaufen?;Ja,bei den meisten Reisen wird ein Stop im Supermarkt in Windhoek eingeplant. Sollte das einmal nicht der Fall sein, frage gerne deine Reiseleitung nach einem solchen Stop. Dort kann dann Mückenmittel, Sonnenschutz oder Adapter gekauft werden. Was gerade gebraucht wird. ;
8;Müssen die optionalen Aktivitäten schon vorab gebucht werden oder geht das auch kurzfristig während der Reise?;Die optionalen Ausflüge während der Reise können nur vor Ort gebucht und gezahlt werden. In der Regel fragt die Reiseleitung zum Beginn der Reise und jeweils einen Tag vor der jeweiligen Aktivität, wer teilnehmen möchte. Somit kann man sich oft auch kurzentschlossen noch für einen Ausflug entscheiden. ;
9;In Sossusvlei gibt es die Möglichkeit, mit Heißluftballons zu fahren. Dies steht aber nicht in den optionalen Aktivitäten von Chamäleon. Können wir dies über Chamäleon buchen oder sollen wir das selbst beim Veranstalter online buchen?;"Die Heißluftballonfahrt im Sossusvlei bieten wir nicht an, da diese mit unserem Tagesprogramm kollidiert. Gerne kannst du diese über einen dortigen Anbieter vor Ort buchen. Doch durch die frühe Abholung zur Ballonfahrt verpasst du den gesamten Tag mit der Gruppe. Davon betroffen ist die Fahrt ins Deadvlei, die mögliche Besteigung der Düne ""Big Daddy"" und auch der Besuch des Sossusvlei selbst. Du würdest die Gruppe erst am Nachmittag wieder bei der Abholung auf dem Weg zu nächsten Unterkunft wieder treffen. ";
10;Ab wann kann ich das Visum für Namibia beantragen? Geht das online oder auch bei Ankunft am Flughafen? ;Das Visum kann aktuell ab 3 Monate vor Reisebeginn beantragt werden. Wir empfehlen dies mit dem Empfang der Reiseunterlagen ab ca. 3 Wochen vor Reisebeginn. Wir empfehlen aufgrund unserer engen Zeitplanung am ersten Tag, das Visum on Arrival vor ab online zu beantragen. Falls du Hilfe bei der Beantragung benötigst, findets du hier* unsere Ausfüllhilfe. Und falls doch die eine oder andere Frage noch unbeantwortet ist, hier einige Fragen und Antworten*, die wir seit dem 01.04 gesammelt haben. ;*Links zu den Dokumenten sollten noch hinterlegt werden
11;Ist eine Dreierbelegung für Reisen nach Namibia möglich?;Nein, auf unseren Namibia Reisen können nur Doppel- und Einzelzimmer gebucht werden.;
12;Benötige ich Malaria Prophylaxe? Fragen zu Impfungen;"Mit der Reisebestätigung erhältst du von uns einen Coupon für ein kostenloses Informationsgespräch zur reisemedizinischen
 Vorsorge in einer der BCRT-Reisepraxen. Standorte: Berlin (Standorte Mitte und Steglitz), Dresden, Düsseldorf, Frankfurt a.M., Hamburg, Köln, München, Stuttgart und Wiesbaden. Sprechzeiten unter www.bcrt.de. Eine telefonische Beratung ist nicht möglich.
Außerhalb dieser Standorte lasse dich dazu bitte ärztlich beraten.";
13;Gibt es einen Kühlschrank im Bus?;Die Busse verfügen über keine Kühlschränke. Sie verfügen in der Regel nur über Kühlboxen. Diese können, gerade an besonders heißen Tagen, die Temperatur nicht konstant über mehrere Stunden oder den ganzen Tag halten. Solltest du Medikamente mitführen die gekühlt werden müssen, kläre das bitte mit deinem Arzt/Ärztin ab ob du eine entsprechend Kühlmöglichkeit mitnehmen kannst (besondere Kühltasche ect.);
14;Verfügen die Zimmer auf den Reisen über Kühlschränke? Was mache ich, wenn ich Medikamente dabei habe, die gekühlt werden müssen?;Die Unterkünfte/ Zimmer verfügen in der Regel nicht über Kühlschränke. Solltest du Medikamente dabei haben, die gekühlt werden müssen, können diese in den großen Kühlschränken der Unterkünfte gekühlt werden. ;
15;Muss ich mir ein Badezimmer mit anderen Reisenden teilen?;Nein, jedes Zimmer verfügt über ein eigenes Badezimmer. ;
16;Brauche ich für die Namibia Reisen knöchelhohe Wanderschuhe?;Nein, wir empfehlen allerdings Schuhe mitzunehmen in denen du einen guten Halt mit dem Fuß hast. Das kann auch ein Halbschuh oder ein Turnschuh sein. Wichtig ist, das die Schuhe eine etwas dickere Sohle haben, da die Dornen mancher Büsche sehr lang sind und gerne auf den Wegen liegen. Dein Fuß ist mit der dickeren Sohle einfach besser geschützt.;
17;Ist eine Stromversorgung in den Lodges durchgängig garantiert?;;
18;Muss ich Handtücher/Bettwäsche mitnehmen?;Nein, dies liegt alles in den Unterkünften für dich bereit. ;
19;Haben die Unterkünfte Duschmittel?;Einige Unterkünfte bieten kleine Dusch- und Shampooproben. Wir empfehlen zusätzlich in kleinerer Menge Duschgel/Shampoo mitzunehmen. ;
20;Gibt es auf den Touren Mittagessen, auch wenn dies nicht inkludiert ist?;Auch für die nicht inkludierten Mahlzeiten ist bestens gesorgt: Dein Reiseleiter kümmert sich um die Organisation der gemeinsamen Essen. Bitte beachte jedoch, dass die Kosten für diese kulinarischen Erlebnisse, beispielsweise in charmanten lokalen Restaurants, nicht im Voraus gebucht werden können und daher direkt vor Ort zu begleichen sind.;
21;Wie sieht es im Bus mit Getränken und Snacks aus?;Snacks für unterwegs findest du in den Lebensmittelläden oder an gemütlichen Raststopps, in welchen der Guide für solche Gelegenheiten gerne hält. Sobald deine Buchung feststeht, erwartet dich unser besonderes Vorfreude-Paket! Darin findest du nicht nur deine Bestätigungsunterlagen, sondern auch eure Nature Bottles. In unseren Bussen könnt ihr sie jederzeit kostenlos mit Trinkwasser auffüllen. Mit diesen Flaschen tragen wir gemeinsam dazu bei, jedes Jahr rund 33 Tonnen Plastikmüll einzusparen – ein kleiner Schritt mit großer Wirkung!;
22;Kann ich die Big Five in Namibia sehen? ;Es gibt keinen Ort in Namibia, an dem man alle Tierarten der Big Five auf einmal sieht. Der größte Teil Namibias ist Wüste und wüstenartig. Das ist der Grund, warum die Büffel in der Regel auf eine Zone mit viel Gewässer reduziert sind. Wie zum Beispiel im äußersten Nordosten, im Caprivistreifen. Hier wiederum leben aber keine Nashörner. Diese fressen eher Gras und lieben die Savannen, der Caprivistreifen ist dafür zu feucht und vegetationsdicht. Nashörner kann man dafür im Etosha-Nationalpark mit Glück sichten.;
23;;;
24;;;
25;;;
26;;;
27;;;
28;;;
29;;;
30;;;
31;;;
32;;;
33;;;
34;;;
35;;;
36;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Wie kann ich Sitzplätze für die Flüge mit der Discover Airline reservieren?;Gerne können nach der bestätigten Buchung jederzeit Sitzplätze kostenpflichtig über uns reserviert werden. Bei der Airline direkt ist dies oft erst mit dem Online Check-in ab 23h vor Abflug möglich. ;
2;;;
3;;;
Simbabwe;;;
Nr.;Frage;Antwort;
1;Benötige ich ein Visum?;Deutsche, österreichische oder Schweizer Staatsbürger benötigen ein Visum, dieses erhält man vor Ort für 30 USD bar pro Person.;
2;Welche Währung wird genutzt?;In Simbabwe wird mit USD gezahlt. Man kann mit internationalen Karten kaum Bargeld abheben, daher sollte man ausreichend USD mitbringen.;
3;Gibt es WLAN vor Ort?;Viele Unterkünfte bieten kostenfreies WLAN im Hauptbereich (Rezeption, Restaurant etc.) an.;
4;Gibt es einen Fön in den Unterkünften?;Nicht alle Unterkünfte haben einen Fön. Da der Strom im südliches Afrika begrenzt ist, bitte wir dich auch keinen Fön von zu Hause mitzubringen.;
5;Bieten die Unterkünfte einen Wäscheservice?;In den meisten Unterkünften gibt es einen Wäscheservice, jedoch musst du schauen ob die Zeit vor Ort ausreicht um diesen zu nutzen.;
6;Kann ich das Leitungswasser trinken oder zum Zähnputzen nehmen?;Das Leitungswasser ist nicht zum trinken geeignet. Die Lodges stellen Trinkwasser zum Zähneputzen in Glaskaraffen oder Glasflaschen bereit.;
7;Brauche ich einen Adapter für die Steckdose?;ja. Ein Weltstecker geht nicht, es ist ein spezieller Stecker notwendig, dieser kann vor Ort gekauft werden;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Wo und wann kann ich den Helikopterflug über die Victoria Fälle buchen?;Wenn die Reise an den Victoria Fällen beginnt, empfehlen wir dir den Helicopterflug bis 6 Wochen vor Abreise bei uns zu reservieren. Auf allen anderen Reisen kann der Ausflug vor Ort über die Reiseleitung reserviert werden.;
2;Wie und wo kann ich den Helikopterflug bezahlen?;Die Bezahlung erfolgt vor Ort in Bar oder per Kreditkarte. Der Ausflug kostet 160 USD + 15 USD (Nationalparkeintritt) (Stand Juli 2025);
3;Kann ich die Victoria Fälle während meines Aufenthaltes eigenständig besuchen?;"Während der Reise besuchst du den Victoria Falls Nationalpark mit der Gruppe. Der einmalige Eintritt mit der Gruppe ist im Reisepreis enthalten. Du kannst dann den Rundwanderweg in deinem eigenem Tempo laufen oder zusammen mit dem Reiseleiter und der Gruppe.
Wenn du einen individuellen Besuch später oder früher planst, musst du den Transfer und den Nationalparkeintritt erneut zahlen.";
4;Kann ich eine Bootsfahrt auf dem Sambesi machen? (Ra-Ikane);Ja. Wenn die Reise an den Victoria Fällen beginnt, empfehlen wir dir die Ra-Ikane Bootstour bis 6 Wochen vor Abreise bei uns zu reservieren. Auf allen anderen Reisen kann der Ausflug vor Ort über die Reiseleitung reserviert werden.;
5;Zu welcher Tageszeit findet die Ra-Ikane Bootstour statt?;"Standardmäßig reservieren wir für dich ""Breakfast-Tour"" am Morgen. Es gibt auch die Möglichkeit eine Tour am Mittag oder Abend zu machen. Bitte lass uns deine Wünsche wissen";
6;;;
;;;
Südafrika;;;
Nr.;Frage;Antwort;
1;Wieviel Freigepäck kann ich auf den Inlandsflügen mitnehmen?;20 kg mit Airlink oder SAA;
2;Sind die Busse klimatisiert?;ja;
3;Brauche ich einen Adapter für die Steckdose?;ja (Weltstecker geht nicht, es ist ein spezieller Stecker notwendig), teilweise stehen diese vor Ort zur Verfügung in den Zimmer oder dieser kann vor Ort gekauft werden;
4;Sind die Unterkünfte klimatisiert?;teilweise;
5;Welche Kleidung nehme ich mit ?;Zwiebelprinzip anwenden;
6;Muss ich Bargeld in der Landeswährung mitnehmen?;nein, Kreditkarte (Visa+ Master weit verbreitet), Barabhebung vor Ort am Automaten möglich;
7;Kann ich vorab Sitzplätze reservieren (Flug)?;ja, kostenpflichtig;
8;Welche Impfungen benötige ich?;unsererseits gibt es eine Beratungscoupon beim BCRT (Berliner Centrum Reise- und Tropenmedizin, einlösbar in Berlin, Dresden, Düsseldorf, Frankfurt a.M., Hamburg, Köln, München, Stuttgart, Wiesbaden) zusätzliche Info in unseren Reiseunterlagen zu finden (Einreisebestimmungen);
